eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss
0.01,0.8,L2,1e-07,1.5475480169342968,0.004337867495400928,1.9700028167160593
0.01,0.8,L2,1e-08,1.5385055538283752,0.00431404211562289,1.9684147913662702
0.01,0.8,L2,1e-06,1.5322747159336796,0.00419219656388394,1.9702491992505262
0.01,0.8,L2,1e-05,1.5735935721238532,0.0045886068176617,2.0075875106332077
0.01,0.8,L1,1e-07,1.5592442153983244,0.004381542721557372,2.008623604708178
0.01,0.8,L1,1e-08,1.5266074566556533,0.0039690214093244134,1.9271293771020528
0.01,0.8,L1,1e-06,1.5691340521603907,0.004494145327163453,2.001109713949918
0.01,0.8,L1,1e-05,4.0189174876732014,0.02895285594680287,12.716970109048399
0.01,0.9,L2,1e-07,1.5477550269181501,0.003549670296435115,1.916658165142062
0.01,0.9,L2,1e-08,1.5634692508416048,0.00414168570035142,2.0168247709623848
0.01,0.9,L2,1e-06,1.5676753830715195,0.003949065510915687,1.9656768728822307
0.01,0.9,L2,1e-05,1.5463795374831115,0.004451381395290913,1.9659377883041567
0.01,0.9,L1,1e-07,1.5770322230923657,0.004419118406377273,2.032054039003327
0.01,0.9,L1,1e-08,1.562010932878685,0.0039947555588245405,1.9442058131864728
0.01,0.9,L1,1e-06,1.5626774091589224,0.004206790068048429,2.018126248296516
0.01,0.9,L1,1e-05,1.5874524686845775,0.004708932911227688,2.035141988312775
0.01,0.7,L2,1e-07,1.5489115696407516,0.004443846487468192,1.985450400938678
0.01,0.7,L2,1e-08,1.55227194814949,0.004238874601472986,1.9942975396262472
0.01,0.7,L2,1e-06,1.5405430400639075,0.004197916905049334,1.9346703188778787
0.01,0.7,L2,1e-05,1.5825832608717836,0.004689952092440133,1.9980556217817043
0.01,0.7,L1,1e-07,1.5691588274220336,0.004414513095272418,2.01712883573134
0.01,0.7,L1,1e-08,1.5284636858420584,0.004145347662587432,1.940864333682315
0.01,0.7,L1,1e-06,1.5743478729791265,0.00456627565016874,2.033029417202848
0.01,0.7,L1,1e-05,7.2380124622128,0.06524566829673083,29.89553222026792
0.01,0.5,L2,1e-07,1.5415321281342038,0.004376987919071024,1.9775951357302421
0.01,0.5,L2,1e-08,1.5277986098570076,0.004136274396520354,1.9407010052964893
0.01,0.5,L2,1e-06,1.5323845531099323,0.004247121905902235,1.952646125247954
0.01,0.5,L2,1e-05,1.6391193333044871,0.004978050472290364,2.076489244772027
0.01,0.5,L1,1e-07,1.528173526271421,0.004240216266976829,1.9290124066106291
0.01,0.5,L1,1e-08,1.5397581232927269,0.004315549292647027,1.9665241891195642
0.01,0.5,L1,1e-06,1.5655021686667643,0.004605013602780114,1.996762178755608
0.01,0.5,L1,1e-05,7.239805498380183,0.06524777178244885,29.895692131404918
0.01,0.6,L2,1e-07,1.5512795573818134,0.004329389704769157,1.999385438406125
0.01,0.6,L2,1e-08,1.5184963722419,0.00409841455554211,1.9322242151310876
0.01,0.6,L2,1e-06,1.531823243990746,0.004379436095626912,1.9368377247118265
0.01,0.6,L2,1e-05,1.5956498770112006,0.004774022413811381,2.0092866833926277
0.01,0.6,L1,1e-07,1.5468536532983286,0.004176537734522929,1.964914280677978
0.01,0.6,L1,1e-08,1.5467124884576142,0.00438530668111839,1.9698564137882235
0.01,0.6,L1,1e-06,1.5737487781536081,0.004605197903703317,2.0060772614678064
0.01,0.6,L1,1e-05,7.238043631936932,0.06524558950708419,29.895544622487492
