,eta,nesterov,reg_type,reg_val,tr_mee,val_mee,loss,val_loss
0,0.01,0.8,L2,1e-07,1.442721305151066,1.559812452047596,1.6869088018956686,1.99154151719545
1,0.01,0.8,L2,1e-08,1.3936139963960532,1.5452004051945913,1.5685274574867896,1.9848451654507888
2,0.01,0.8,L2,1e-06,1.3696291101684792,1.5276000347191825,1.5419263895482918,1.94946260970214
3,0.01,0.8,L1,1e-07,1.4015270910067976,1.542827323973673,1.6132178750135022,1.9615349806542124
4,0.01,0.8,L1,1e-08,1.3625464561395448,1.5459801343215733,1.5120146369437233,1.9391738926772604
5,0.01,0.8,L1,1e-06,1.4248240135068162,1.5485562211442125,1.6745294003287914,1.991633156886219
6,0.01,0.7,L2,1e-07,1.3420494474304716,1.5288043127781776,1.4744810381954698,1.887249231253301
7,0.01,0.7,L2,1e-08,1.4109892876913392,1.5407407089825773,1.6347072248472596,1.97767955730604
8,0.01,0.7,L2,1e-06,1.396324814809968,1.5366771959150853,1.6054266964421917,1.9582152261863583
9,0.01,0.7,L1,1e-07,1.3019382855437052,1.5040988991926596,1.380023406115017,1.8472034511271131
10,0.01,0.7,L1,1e-08,1.3329327262072186,1.5218454727373907,1.4465992714995493,1.8963959052809656
11,0.01,0.7,L1,1e-06,1.482970898958852,1.5758176871898861,1.7682267393513174,2.0059447995229847
12,0.01,0.5,L2,1e-07,1.4106502621301156,1.5310428510566307,1.6234383087177011,1.954433649056013
13,0.01,0.5,L2,1e-08,1.3965192517128084,1.53653845888642,1.6015310211796159,1.9540264384521333
14,0.01,0.5,L2,1e-06,1.3997583735450299,1.5362192541895212,1.6014719929812662,1.949206605363374
15,0.01,0.5,L1,1e-07,1.4142796195322767,1.5405307420278922,1.632177691803241,1.9575612290988824
16,0.01,0.5,L1,1e-08,1.4040592305146022,1.5425597411383076,1.6107151155628692,1.9614541513818302
17,0.01,0.5,L1,1e-06,1.5299123804127823,1.5984718524518897,1.8492487736783352,2.042970774877855
18,0.01,0.6,L2,1e-07,1.3670361727478424,1.5151770324935612,1.5248810987224182,1.9263743152744706
19,0.01,0.6,L2,1e-08,1.3522723172100612,1.5212539593058965,1.521124247544151,1.9085198870897326
20,0.01,0.6,L2,1e-06,1.415620167353027,1.5358301613147027,1.632705374808327,1.9534304026267175
21,0.01,0.6,L1,1e-07,1.4410007622041954,1.5460104235900998,1.6775430154692066,1.9719672341472776
22,0.01,0.6,L1,1e-08,1.3730229615513618,1.532750342021827,1.5454450072168082,1.9107357038327226
23,0.01,0.6,L1,1e-06,1.4975578404102892,1.5802415452799015,1.7968046098086206,2.0283806613280237
24,0.001,0.8,L2,1e-07,1.4561195507817377,1.541587697213495,1.7043008729887292,1.9468139290149054
25,0.001,0.8,L2,1e-08,1.4510932673387311,1.5527468104292568,1.6821881852638387,1.9706197392497324
26,0.001,0.8,L2,1e-06,1.502848317526252,1.56989908611451,1.7836128946909646,1.9718526823149223
27,0.001,0.8,L1,1e-07,1.463900485741547,1.5409250307104525,1.7222835289826897,1.9515242698971267
28,0.001,0.8,L1,1e-08,1.4505013341557567,1.5478110453622278,1.700107355287555,1.9608128896913908
29,0.001,0.8,L1,1e-06,1.7284499095373436,1.784419001245208,2.1706621629489837,2.3331260499540534
30,0.001,0.7,L2,1e-07,1.47008586953197,1.5454798257796505,1.73417231096323,1.9545265754609416
31,0.001,0.7,L2,1e-08,1.4731487198508093,1.550067928660816,1.7389178644204801,1.9653176689610847
32,0.001,0.7,L2,1e-06,1.5351522716926402,1.5875269103736063,1.8394477133559424,2.000573849648691
33,0.001,0.7,L1,1e-07,1.5036978804201777,1.5810465523684047,1.7852871659006573,2.0076806176291133
34,0.001,0.7,L1,1e-08,1.4797320286212805,1.5542514353599248,1.7451187513776987,1.9703248960201087
35,0.001,0.7,L1,1e-06,7.231670553388024,7.244869148490664,29.80068467489184,29.896644411566886
36,0.001,0.5,L2,1e-07,1.5113364084765226,1.5715704294929278,1.8012986621535092,1.9858453587775549
37,0.001,0.5,L2,1e-08,1.5123216794833125,1.5856433392829177,1.8003587159679455,2.0188843293623693
38,0.001,0.5,L2,1e-06,1.6196537452460233,1.66292634966471,1.9793455854509958,2.104991573768928
39,0.001,0.5,L1,1e-07,1.549769481977057,1.6135939878180288,1.8650403893045542,2.055482989432518
40,0.001,0.5,L1,1e-08,1.52789904348721,1.594689087208069,1.8254349470371887,2.019141602956748
41,0.001,0.5,L1,1e-06,7.227593800756991,7.240196361137991,29.800980666820077,29.89493386714727
42,0.001,0.6,L2,1e-07,1.4971483433982504,1.5711683416604425,1.775195082130601,1.9934047979509522
43,0.001,0.6,L2,1e-08,1.4901479964985906,1.5715912822487528,1.766966905453015,2.00250931939634
44,0.001,0.6,L2,1e-06,1.5913427169279128,1.6384235137373393,1.9348772798259481,2.074504997454331
45,0.001,0.6,L1,1e-07,1.5192750007014888,1.591275158315371,1.8183457140849841,2.0283298993101817
46,0.001,0.6,L1,1e-08,1.4983727653665742,1.5723775716192547,1.7792631596867994,1.9899390261453664
47,0.001,0.6,L1,1e-06,7.227181349498177,7.23991019913948,29.800822915641564,29.89590403837249
